Age,Income,Debt,Credit_Utilization,Loan_Amount,Loan_Duration,Previous_Defaults,Payment_History,Employment_Length,Num_Credit_Cards,Monthly_Expenses,Existing_Loans,Credit_History_Length,Savings,Creditworthy
61,44634.95,12132.84,0.4079,23060.55,48,0,95.04,0.3,9,1797.27,1,14.4,13663.48,1
42,81505.52,0.0,0.2026,17535.68,24,1,74.5,3.5,9,2990.38,1,8.7,7197.4,1
66,71542.31,36696.87,0.6124,14109.69,12,0,97.36,1.5,4,2983.68,1,25.0,11105.97,1
44,58159.49,13803.32,0.9838,20763.83,36,0,79.7,2.2,4,2882.0,3,5.6,6158.53,1
59,29561.62,23309.82,0.368,16969.63,48,1,89.07,7.1,9,1564.51,3,31.9,2685.82,1
45,59227.93,5094.71,0.5513,27843.8,36,0,93.96,5.8,1,1677.32,2,3.5,14157.65,1
33,76253.15,22971.11,0.3313,32411.69,60,0,81.19,2.9,8,2071.17,3,11.5,6909.56,1
32,47487.33,29860.73,0.8694,6327.5,48,1,94.01,0.2,1,1725.83,2,4.3,4968.52,1
64,82022.28,14517.75,0.8573,7741.8,12,0,75.12,0.2,7,2157.49,0,26.1,30802.3475,1
68,80854.91,6912.95,0.1852,33480.56,12,0,74.54,6.1,6,3355.0,0,39.9,548.47,1
61,88274.66,13889.63,0.8919,21658.19,36,0,91.76,14.9,8,4631.32,4,11.4,12916.75,1
69,61104.86,0.0,0.1585,8683.49,12,0,69.65,9.4,5,2235.81,4,22.1,5348.32,1
20,66747.83,14696.91,0.1035,29832.52,48,0,88.68,0.7,8,2727.37,3,0.2,4048.51,1
54,83283.75,21567.74,0.6499,23416.85,24,0,63.08,0.6,6,3676.54,4,9.0,22556.62,1
68,63947.88,14713.94,0.3882,42032.46,24,1,85.43,4.7,9,3546.27,2,9.9,14956.47,1
24,44975.32,12726.88,0.5301,17646.98,12,2,97.68,5.4,3,2513.57,0,3.8,207.29,1
38,46029.14,19220.54,0.6495,31087.04,60,1,78.26,4.8,4,2120.19,2,11.7,13311.52,1
26,59771.1,19832.2,0.0618,5511.66,48,1,76.64,10.8,7,1514.58,2,3.5,83.07,1
56,29188.77,1720.76,0.2971,33960.28,60,1,81.62,1.3,2,914.2,1,3.8,485.02,1
35,52134.82,15710.58,0.4617,29441.6,36,0,88.78,0.9,6,1653.86,4,4.1,2939.11,1
21,76930.94,34487.88,0.2713,36043.47,12,0,74.35,12.3,8,3459.21,2,1.7,30802.3475,1
42,12000.0,4319.87,0.058,31105.8,36,1,60.01,6.4,3,583.04,1,2.6,4963.9,1
31,85689.64,14316.65,0.0949,19009.52,60,0,80.08,6.2,1,2396.37,3,6.6,8421.42,1
67,77447.48,30533.97,0.7957,8288.73,48,0,76.77,2.0,5,2683.98,1,10.4,15199.87,1
26,45804.71,23833.4,0.9032,13979.47,60,0,81.31,4.9,4,1919.44,0,4.1,3037.08,1
43,65867.82,10892.83,0.1592,2388.5,24,0,88.61,6.5,3,3340.31,1,16.3,27945.18,1
19,55062.95,16649.08,0.2543,10791.01,60,0,71.34,4.6,6,2008.78,3,0.7,6189.57,1
37,79599.81,14983.11,0.6492,24258.61,60,0,80.21,6.7,5,3309.18,0,7.7,20994.5,1
45,74653.66,9015.43,0.9452,19522.47,60,0,70.14,4.5,3,3100.98,1,14.1,6023.36,1
64,26998.59,14405.98,0.3036,17764.1,60,0,78.37,20.1,2,1509.0,1,21.8,23767.02,1
24,66745.25,12760.27,0.8481,12068.97,48,0,73.78,3.4,3,3549.13,2,2.9,19694.06,1
61,50887.44,15901.99,0.5059,2276.01,12,1,74.76,0.1,4,2727.37,2,15.9,4212.87,1
25,56656.65,9012.93,0.9474,21820.83,48,0,83.17,0.9,9,1731.06,2,4.6,914.61,1
64,40436.56,4787.05,0.1435,23791.6,36,0,87.58,16.6,6,2225.12,4,15.5,651.74,1
52,89962.74,14669.75,0.9642,10084.36,24,0,60.51,3.2,6,3429.79,2,17.5,6297.15,1
31,75801.24,28720.95,0.4422,14665.6,12,0,95.07,0.6,1,3271.45,2,5.4,415.87,1
34,40204.58,15657.62,0.9439,35421.33,24,0,74.57,0.8,4,1828.39,3,5.4,9725.48,0
53,28307.79,12347.25,0.4595,31594.98,24,0,85.74,0.1,3,1113.61,2,12.4,16509.3,1
67,47286.55,21032.69,0.5295,5155.75,12,0,64.9,1.3,4,1723.19,1,19.8,20174.29,1
57,63690.05,13733.44,0.7987,19153.64,12,1,82.86,21.6,2,2118.79,2,15.0,29103.53,1
21,59804.12,29944.26,0.7182,34549.56,36,1,87.14,2.0,9,2518.85,0,1.8,878.01,0
19,80062.66,14968.7,0.6172,17835.79,48,0,66.3,1.4,6,4237.0,0,0.5,20893.08,1
23,70798.39,20603.98,0.4186,17310.57,12,0,96.49,5.5,1,3575.85,2,2.3,1057.33,1
59,74391.38,8963.16,0.7866,30927.38,36,1,90.3,5.6,4,3124.19,1,9.0,30802.3475,1
21,54915.35,19024.71,0.9393,29870.69,60,0,81.36,17.2,5,2241.61,4,1.3,1152.37,1
46,27214.03,17200.75,0.0196,29353.03,12,0,66.64,6.5,2,691.89,2,12.3,30802.3475,1
35,54915.35,14547.95,0.5861,17380.15,48,0,94.62,0.6,7,1630.84,0,10.1,5298.5,1
43,76201.79,10985.94,0.8587,26628.88,60,0,62.75,21.2,4,2379.56,1,10.2,13469.8,1
61,53969.54,9895.76,0.6501,34947.46,60,0,64.61,6.9,5,2407.67,4,19.9,1927.96,1
51,65061.81,17258.82,0.7948,19501.26,60,1,87.93,1.5,8,3623.42,2,12.6,861.45,1
27,54915.35,20031.51,0.8872,15965.9,60,0,70.15,1.5,7,1728.18,4,7.1,11159.9,1
53,34403.76,13982.7,0.7459,32300.73,24,0,78.37,16.1,3,1769.67,3,24.5,8055.52,1
31,52533.12,17298.14,0.7127,40454.4,48,0,81.56,1.1,5,1890.73,3,1.7,23855.39,1
48,61180.95,14696.68,0.9555,41150.05,36,2,78.33,1.3,8,3495.8,1,21.0,11418.23,0
65,41886.25,15788.21,0.8564,16254.89,12,0,63.36,2.2,4,1319.19,4,16.7,10125.89,1
32,50285.78,13396.44,0.8091,17259.6,36,0,89.5,5.7,7,1939.17,3,4.7,10573.68,1
25,36210.74,15143.78,0.0947,9708.38,24,0,69.6,2.8,9,1085.55,2,1.2,5122.35,1
31,77384.9,36584.32,0.2442,21180.52,60,1,89.54,1.9,2,2518.16,2,9.5,12791.47,1
40,49110.88,17493.07,0.5556,9258.81,12,1,94.61,1.6,5,1401.24,4,15.7,22466.61,1
57,84055.11,20162.38,0.7054,14733.67,48,1,81.45,0.7,1,2408.22,3,29.4,11763.77,1
38,85574.96,18504.19,0.3072,27011.3,12,0,88.26,4.0,6,3932.16,1,12.8,1198.7,1
33,53379.08,12897.47,0.1015,23899.77,12,0,61.48,1.6,7,2729.19,2,2.6,6017.98,1
62,34831.03,25351.91,0.3149,2000.0,36,0,61.47,2.0,6,964.85,4,5.2,5170.07,1
35,13282.04,12670.69,0.7656,35702.92,60,0,67.89,0.0,6,430.03,3,12.5,6625.09,0
64,25559.26,23440.44,0.8699,9130.04,48,0,74.34,3.8,6,912.54,1,22.3,3446.17,0
41,27523.3,12326.34,0.9046,10390.66,12,0,67.31,6.0,8,1547.51,2,6.1,8171.31,1
43,82569.39,7320.22,0.3813,7610.78,24,0,85.4,13.1,9,3710.24,4,4.0,16314.25,1
42,57316.49,17923.17,0.3751,13387.17,24,1,71.08,1.1,4,1637.86,0,4.8,4084.61,1
62,62792.09,6162.65,0.4086,11031.94,60,1,93.83,12.6,3,2343.7,4,9.2,25349.04,1
58,12000.0,19285.12,0.3783,11275.67,12,0,82.42,2.2,7,586.07,4,21.9,3231.99,1
46,31040.67,5446.73,0.6629,2000.0,60,3,75.12,8.1,8,1788.19,4,7.8,6960.0,0
32,72741.6,12447.94,0.3612,21299.27,12,0,95.72,11.4,3,3608.88,2,4.4,10636.18,1
62,60735.48,3546.16,0.0299,22320.65,48,0,93.13,16.3,6,1885.19,2,22.8,17119.75,1
18,52055.89,36696.87,0.4402,42444.07,24,0,92.8,2.0,7,2722.85,2,0.0,11016.2,1
42,66296.85,1768.32,0.2297,24863.41,36,2,89.13,3.4,7,1664.79,4,9.1,21303.14,1
24,87715.96,15078.51,0.0382,15034.11,60,0,84.57,2.9,2,3603.35,4,0.8,17787.45,1
26,50579.15,24146.43,0.4714,7992.85,48,0,74.67,4.0,8,1846.26,3,4.5,2280.68,1
41,56387.4,23291.09,0.2118,19037.24,24,1,76.9,5.9,6,3188.38,3,13.3,4632.39,1
18,58851.94,21810.74,0.4537,24487.23,48,0,85.88,5.9,6,1561.38,1,0.0,295.94,1
61,102842.19,12462.17,0.2822,14966.51,36,1,66.91,0.6,3,3447.16,0,4.3,3388.31,1
25,13012.87,25808.71,0.6016,20610.16,12,0,93.11,4.7,6,438.04,2,3.5,151.4,1
41,68664.46,22307.13,0.9811,38973.54,12,1,97.55,0.9,9,2685.65,0,14.8,11609.39,1
28,52703.96,16698.4,0.5463,16158.9,48,0,63.92,6.2,6,2939.73,2,2.5,12379.98,1
68,66335.43,16924.65,0.644,2000.0,48,0,60.9,18.8,4,3101.45,3,22.9,15250.9,1
34,41852.55,12568.62,0.9109,28734.87,60,1,65.71,7.4,9,1215.72,1,9.4,1534.06,0
25,54020.7,7722.78,0.3765,23143.21,48,0,90.4,5.9,6,2835.84,0,3.6,3922.2,1
52,69228.21,24897.21,0.1732,2910.08,12,1,64.31,0.4,6,3184.12,4,21.8,9898.97,1
52,108025.5475,25497.66,0.2871,24276.44,48,0,74.89,1.0,8,2994.6,3,13.1,19190.84,1
50,71160.72,7927.13,0.4047,10021.36,24,1,62.52,2.2,2,3957.89,1,22.7,18914.03,1
22,38038.69,13769.72,0.6421,24413.22,24,0,77.3,13.6,2,1011.11,2,1.3,5166.22,1
59,46524.81,13852.61,0.0145,39072.64,12,0,84.15,2.0,5,2109.04,2,8.5,4012.91,1
56,45931.72,14738.75,0.8463,18230.31,48,0,85.14,8.4,9,2068.21,1,24.7,6239.71,1
58,19087.14,15514.36,0.0846,30832.71,48,1,80.76,0.5,1,864.52,2,4.3,1739.33,1
45,48398.2,22574.89,0.8926,7715.13,48,0,97.52,5.4,1,2578.45,2,20.7,2617.95,1
24,69656.58,9022.26,0.9404,4805.81,24,1,81.25,7.6,2,2028.49,4,0.9,182.97,1
26,29515.36,8229.22,0.9803,40173.7,12,0,94.37,3.9,4,1263.92,2,5.2,13766.17,1
25,75969.65,24892.96,0.8033,23078.15,60,0,99.72,7.3,7,3351.79,0,1.3,30802.3475,1
29,64755.5,11298.84,0.149,26366.7,24,0,69.19,6.4,3,2477.26,1,3.3,806.9,1
51,40315.33,4895.72,0.702,31520.22,12,1,70.62,3.2,3,1717.53,1,17.2,1629.56,1
50,52169.41,11118.96,0.2093,14721.85,12,0,80.87,10.0,6,2175.37,4,6.3,2285.04,1
65,86966.44,12359.58,0.8892,28251.16,60,1,67.3,2.1,3,4374.34,3,7.9,7865.53,1
40,69670.96,27439.7,0.3203,26735.44,36,0,82.57,2.8,7,2080.59,3,16.5,4901.04,1
41,55175.67,22398.61,0.3303,7051.95,60,1,87.38,3.9,7,1433.81,2,13.9,822.54,1
54,50246.33,24180.16,0.9093,35129.85,60,0,62.42,0.7,4,2816.29,1,6.6,48.79,0
52,56532.18,21559.79,0.023,33068.61,12,1,87.26,3.6,5,2004.34,0,15.8,4127.04,1
61,44764.73,22569.95,0.2001,7162.83,36,0,66.38,2.0,5,2300.51,0,29.4,5830.17,1
57,12905.01,9495.34,0.4235,22002.86,36,0,71.97,1.5,1,460.17,2,6.3,11699.68,1
39,95843.56,13411.18,0.6967,17689.2,48,0,89.55,4.3,3,2408.69,3,14.0,30802.3475,1
44,54915.35,7080.68,0.6446,34183.07,60,0,66.54,2.0,5,1870.24,2,17.9,5335.45,1
52,62962.95,13316.1,0.666,5893.88,60,2,81.27,9.7,5,1795.37,3,11.5,7353.02,1
18,53841.85,20472.84,0.8724,47423.698749999996,36,1,83.57,2.6,6,2822.64,4,0.0,13199.2,0
52,40297.66,16076.67,0.1286,18255.16,36,0,66.57,2.7,1,1236.86,4,12.7,5401.28,1
54,51281.51,25491.85,0.5217,27384.45,36,0,70.99,20.1,6,2980.62,4,26.3,9098.67,1
64,23012.1,5868.67,0.721,33874.98,12,1,84.26,2.1,5,1045.29,1,33.5,4593.56,0
31,100541.73,19001.91,0.6334,18040.01,12,1,78.45,0.7,9,3595.77,3,7.8,30802.3475,1
20,54915.35,5013.58,0.4493,18850.58,12,0,86.4,10.5,4,1267.72,3,0.2,2514.59,1
18,34360.67,15753.41,0.0268,14971.69,60,1,94.19,12.4,6,1960.52,1,0.0,13815.29,1
22,46194.82,20922.67,0.0692,11145.34,36,0,65.4,1.3,7,2134.43,4,0.7,954.58,1
43,80761.51,13283.98,0.1266,22718.59,12,1,62.83,10.7,2,4047.82,1,3.1,3164.08,1
31,55290.18,19409.01,0.3464,18647.33,48,0,86.67,3.4,6,2292.22,2,2.9,11996.11,1
56,30277.28,7322.14,0.1253,14906.26,36,0,90.83,0.2,5,1294.6,4,17.4,3661.24,1
44,80086.77,1690.48,0.4276,15490.36,36,0,77.97,4.0,8,4628.8,3,11.0,3668.48,1
26,69620.01,19456.24,0.1851,25762.33,36,2,75.76,9.4,6,3143.29,2,3.0,2311.94,1
32,65768.7,28952.08,0.7736,12024.36,12,0,83.87,2.5,4,2832.27,2,6.6,883.21,1
32,69314.68,7031.64,0.8641,17530.35,24,0,82.06,4.0,1,3750.92,4,4.0,4384.21,1
43,102887.24,24777.55,0.3919,28986.67,48,0,79.61,0.8,3,4112.76,1,8.0,1000.71,1
59,98701.9,15347.39,0.5111,22472.25,48,0,92.75,9.2,3,4025.8,3,10.1,30802.3475,1
30,41265.69,4314.47,0.9444,9504.41,24,2,66.94,0.6,9,2008.55,4,5.0,3593.45,0
68,87477.7,5947.96,0.5348,19761.29,48,1,87.25,0.5,6,2652.95,2,30.0,7562.19,1
49,62663.36,15126.28,0.9852,24370.22,12,0,89.65,13.6,7,1838.56,2,14.2,3191.2,1
56,64981.92,11764.3,0.1493,29892.72,36,1,96.05,10.3,7,2963.9,2,26.4,2614.07,1
66,21154.58,4496.7,0.855,12446.21,24,0,97.8,4.3,2,658.23,2,21.3,12678.37,1
69,51592.28,1447.69,0.4973,14414.7,36,1,80.31,0.6,2,2038.8,1,12.3,4497.11,1
49,38743.53,8226.25,0.0323,13048.4,48,1,77.35,3.9,5,2007.49,3,14.2,1807.42,1
21,71561.18,16550.47,0.9628,13544.8,60,0,80.16,12.7,2,2528.39,1,1.1,2236.97,1
47,76421.61,14948.79,0.9557,24050.05,48,0,89.3,4.7,4,3801.44,4,12.9,20980.69,1
54,13510.27,10990.1,0.3856,25944.89,48,2,60.69,1.1,1,485.4,1,6.1,8330.24,0
40,54559.3,16615.1,0.9451,30509.03,24,1,66.97,11.8,9,1436.3,4,14.2,10815.99,0
56,77437.23,23320.21,0.1482,19088.25,36,0,96.31,10.0,8,2172.5,0,13.0,913.09,1
62,51266.42,18153.01,0.6765,5946.77,24,0,67.82,4.0,2,2023.09,0,4.9,8637.11,1
32,69581.27,14029.53,0.1981,26694.7,12,0,69.14,9.6,9,2476.83,4,6.9,2060.48,1
60,62023.31,22424.58,0.2517,21591.44,36,0,97.58,0.3,7,2520.11,1,24.3,1295.81,1
46,61833.2,7321.2,0.7738,20599.69,12,1,71.77,3.1,9,2623.95,4,4.2,6641.33,1
53,49573.7,13200.64,0.3798,7165.97,12,0,71.62,1.0,4,2797.1,2,12.7,9040.3,1
30,30668.38,13391.3,0.017,18041.64,24,0,96.95,9.1,4,1249.39,1,5.2,4506.9,1
49,32569.4,5104.37,0.416,8063.45,48,0,75.0,17.7,2,1745.15,0,14.0,11694.44,1
24,69187.05,11641.01,0.2335,24819.65,60,0,79.76,13.3,5,3691.59,3,0.7,17585.81,1
68,55389.17,0.0,0.6797,15701.06,48,0,82.42,3.5,2,3023.22,0,27.1,9607.92,1
39,52229.76,30297.42,0.2006,14804.66,48,0,94.73,3.6,7,2242.28,3,3.5,15270.79,1
45,46522.2,7500.69,0.8354,4628.45,36,1,63.1,11.9,4,1606.84,4,9.3,18862.13,1
19,48896.22,27688.91,0.2718,30270.96,24,1,70.43,6.4,9,2503.9,4,0.5,30802.3475,1
59,75938.24,15304.68,0.3952,17414.35,36,0,83.48,0.4,7,2715.25,2,25.6,8732.3,1
62,48295.12,19518.91,0.3021,20869.81,60,1,77.38,0.7,2,2649.44,0,15.7,1180.2,1
23,28178.71,11089.6,0.641,12645.1,24,1,71.13,15.2,8,802.95,0,3.4,5330.22,1
45,69873.04,16663.44,0.1091,3494.25,48,0,76.39,2.3,9,3326.32,4,17.3,13672.0,1
45,50902.47,20203.92,0.4785,14683.74,12,0,98.65,1.0,6,2089.18,4,10.4,20496.89,1
61,55627.92,20316.42,0.3378,16284.59,48,0,60.84,6.7,4,2516.38,2,30.7,2353.55,1
61,87151.57,21198.19,0.8765,22927.6,48,0,65.88,10.6,6,2501.9,1,33.3,9221.7,1
37,54588.79,12053.34,0.0819,16449.68,24,1,60.75,1.2,3,3132.11,4,5.5,13097.1,1
47,60783.67,11157.12,0.8231,12816.51,48,0,83.74,1.4,4,2967.14,2,19.6,30802.3475,1
28,31421.53,2246.59,0.1743,4966.61,60,1,60.52,11.5,7,1084.13,4,3.0,4822.28,1
45,50606.61,19185.75,0.0968,20484.53,48,0,78.16,0.1,5,2765.64,1,15.7,445.46,1
42,67190.52,23659.03,0.2083,12034.4,12,3,94.37,11.9,7,2693.99,3,13.6,30802.3475,1
56,23892.53,27927.85,0.1106,33208.07,24,0,63.89,0.2,8,745.49,3,24.8,472.16,1
50,59016.9,17441.38,0.5206,21501.47,60,0,74.61,0.5,8,2322.55,4,8.1,2696.74,1
18,57015.82,8868.16,0.9785,25621.03,24,2,75.12,9.9,4,2032.27,1,0.0,8021.39,0
44,55825.75,1423.23,0.0436,17512.11,12,0,74.49,1.4,4,2713.92,2,10.4,919.29,1
69,75743.18,23333.33,0.4619,22012.8,36,0,89.1,1.3,3,1947.27,0,5.2,28653.48,1
30,61688.77,629.79,0.3883,11092.85,60,0,60.18,9.3,2,3352.14,4,7.7,8438.5,1
58,84561.44,12275.17,0.3428,8217.81,12,0,91.2,3.4,1,3332.68,0,30.1,4489.26,1
20,35128.21,13205.55,0.3352,20151.31,36,0,93.56,2.2,4,1010.45,3,1.6,4441.27,1
56,57718.49,14444.36,0.8871,25703.92,12,0,77.26,6.3,5,2920.3,4,13.4,117.38,1
23,56689.34,15286.42,0.0286,2000.0,36,1,95.49,8.3,5,3284.77,1,0.6,16620.68,1
25,33614.91,16105.18,0.7694,15008.97,36,0,75.24,9.9,4,1851.88,4,2.4,5255.52,1
44,74125.9,0.0,0.2579,38421.22,24,0,87.79,0.6,4,2260.11,3,18.7,99.66,1
26,101493.47,15117.25,0.3856,24792.28,48,0,75.55,4.4,2,3270.15,1,5.5,16007.5,1
54,54659.88,0.0,0.4217,35376.46,48,0,61.51,5.7,8,3166.07,4,13.2,24747.92,1
50,65100.42,20857.74,0.3086,13659.55,12,1,63.34,0.6,2,2067.48,1,6.6,10283.66,1
68,56690.37,10559.0,0.1017,15420.94,36,0,77.68,4.7,5,1987.36,2,27.6,30802.3475,1
59,40728.31,0.0,0.122,29667.33,48,1,99.6,0.2,9,1863.78,1,23.2,7672.63,1
61,18584.79,8486.36,0.3022,26235.2,12,1,67.1,2.1,5,645.11,0,23.3,882.73,1
41,40884.53,10439.4,0.8154,19056.15,12,0,95.82,0.9,1,1541.85,1,4.7,30802.3475,1
32,27160.83,24525.6,0.1419,7374.84,60,0,96.78,4.1,9,1350.14,0,9.5,3531.29,1
49,89082.04,16573.1,0.7378,31568.52,24,1,76.39,1.1,9,3988.83,1,3.9,12571.56,1
49,52697.81,17755.56,0.2931,45102.28,24,0,78.47,7.8,1,2740.54,2,24.1,6987.37,1
41,48081.61,24449.77,0.8758,4281.34,36,1,80.11,0.6,3,2444.92,2,16.8,1933.81,1
58,72783.08,14230.85,0.4298,34036.19,48,1,90.82,7.1,9,3758.69,0,31.8,4938.33,1
69,32564.98,21033.5,0.1783,15316.99,36,1,64.95,0.5,2,1007.15,1,26.5,5167.15,1
66,39662.72,20470.89,0.9761,16665.31,48,1,73.15,2.9,2,1331.28,2,25.1,14065.95,0
66,56361.45,4708.24,0.1831,22696.39,48,1,66.83,6.0,7,1752.03,3,17.7,3271.89,1
69,75575.38,26783.87,0.5663,7944.77,48,0,95.14,0.9,7,2198.32,2,9.1,30802.3475,1
29,65033.7,3637.59,0.5679,19628.62,48,0,62.82,7.0,4,3469.08,4,6.9,17501.25,1
56,59966.5,22338.93,0.3754,3887.46,48,0,89.91,15.3,5,1506.8,2,16.9,9698.83,1
19,54915.35,2863.42,0.9425,24760.82,60,0,77.59,2.3,9,2597.18,3,0.4,7380.37,1
20,63004.72,19809.89,0.837,42337.22,60,0,88.58,0.0,6,3408.31,2,1.4,13565.18,1
66,59033.06,29895.32,0.8232,13604.69,48,0,95.6,3.2,2,1805.42,4,4.9,30692.34,1
54,34400.55,13296.17,0.9647,18312.57,12,0,73.59,11.6,7,1928.31,1,15.7,30802.3475,1
66,55921.58,12949.15,0.458,18805.22,12,0,69.08,5.5,5,3182.82,4,26.7,20266.14,1
34,33526.23,19883.52,0.1052,29864.69,24,2,86.01,6.1,9,1487.22,0,1.6,313.03,1
66,56621.65,12364.83,0.7601,24055.72,48,0,99.9,7.9,2,2674.68,2,29.2,30802.3475,1
19,45387.04,29546.23,0.3832,29203.46,12,0,89.18,11.9,7,1417.03,4,0.2,13211.72,1
19,105787.63,16537.54,0.1965,14937.65,24,1,91.82,0.7,5,4929.34625,0,0.7,9500.4,1
45,54202.11,12438.64,0.4836,24335.69,12,1,85.19,4.5,1,2691.08,4,17.1,1961.71,1
40,26915.21,10677.72,0.9172,2000.0,24,0,74.73,11.0,1,1136.02,4,4.4,1347.31,1
54,52316.4,7536.41,0.1779,26674.63,36,1,86.19,7.5,1,2181.56,0,18.1,6126.56,1
49,65387.17,9977.96,0.8417,7822.07,12,0,65.14,1.4,5,2981.61,3,19.5,12777.25,1
50,88467.28,12194.61,0.4198,16724.06,48,0,79.55,10.4,1,2760.75,3,3.9,13713.09,1
18,43210.95,11098.89,0.1441,27452.51,48,0,82.92,1.7,9,1940.2,4,0.0,7948.21,1
36,23351.44,9734.6,0.8414,4639.1,60,1,96.27,2.6,9,638.21,0,2.4,16387.11,1
19,71336.74,31790.73,0.9602,30894.33,36,0,96.79,1.0,8,3221.56,4,0.5,8638.92,1
61,27388.03,6759.24,0.2954,18756.95,36,0,62.4,10.8,5,1209.38,2,30.9,5632.74,1
43,46276.89,16173.06,0.3075,34531.15,12,0,85.28,0.5,9,1708.52,2,9.4,4559.4,1
49,49847.59,19740.17,0.3927,10971.56,24,0,91.86,25.7,2,1396.18,2,12.6,3408.61,1
23,53607.33,20040.86,0.8078,2000.0,60,0,81.46,2.0,3,2323.23,3,3.9,17212.8,1
49,68783.29,14531.14,0.0202,19710.53,36,0,63.83,6.2,3,2722.66,1,13.0,2471.03,1
21,41327.31,13074.38,0.2295,25870.76,36,0,69.31,0.7,4,1463.52,4,0.9,22978.04,1
28,49525.41,18612.38,0.7018,26709.37,48,0,72.55,3.3,2,1944.71,1,8.0,3685.81,1
34,54714.59,17132.17,0.4075,8645.12,48,0,86.51,0.2,4,1478.98,2,9.2,5559.18,1
55,57991.96,12928.33,0.3337,3753.67,24,0,62.62,10.5,1,1614.57,2,18.8,1610.26,1
41,56956.54,2504.97,0.8648,16876.76,12,0,81.98,3.0,7,1697.93,4,12.9,1183.83,1
22,63720.12,11256.61,0.909,25164.44,24,1,64.36,6.8,5,2768.51,2,2.6,1515.82,1
69,71876.79,5827.6,0.939,24657.87,12,0,75.8,11.2,4,2475.22,1,6.4,13155.31,1
51,62852.68,9662.72,0.2771,35721.26,60,1,77.02,0.4,2,2063.9,2,7.9,11623.82,1
23,64071.71,15265.79,0.9043,16265.45,36,0,78.07,3.6,8,2948.34,1,0.6,12111.97,1
39,23355.54,17869.89,0.7322,2000.0,24,0,88.43,1.1,3,1048.53,2,6.5,18962.98,1
28,56004.55,29243.62,0.1611,31966.66,12,0,63.25,0.4,5,2031.54,2,6.3,2283.63,1
65,64590.15,10700.75,0.6081,21951.95,60,0,70.73,4.9,3,3632.52,1,18.0,2991.81,1
33,69578.82,21197.01,0.0358,22821.88,24,0,85.65,0.6,7,2662.96,1,8.8,30802.3475,1
